serialid,ipscntry,d3c,type_settlement,EU_story,most_used_media,q2b_media_used_news_2,q2b_media_used_news_2.1,q2b_media_used_news_3,q2b_media_used_news_4,q2b_media_used_news_5,q2b_media_used_news_6,q2b_media_used_news_7,q2b_media_used_news_8,q2b_media_used_news_9,q2b_media_used_news_10,q2b_media_used_news_11,q2t_1,q2t_2,q2t_3,q2t_4,q2t_5,q2t_6,q2t_7,q2t_8,q2t_9,q2t_10,q2t_11,q3_access_online_1,q3_access_online_2,q3_access_online_3,q3_access_online_4,q3_access_online_5,q3_access_online_6,q3_access_online_7,q3_access_online_8,q3_access_online_9,q4_app_used_1,q4_app_used_2,q4_app_used_3,q4_app_used_4,q4_app_used_5,q4_app_used_6,q4_app_used_7,q4_app_used_8,q4_app_used_9,q4_app_used_10,q4_app_used_11,q4_app_used_12,q4_app_used_13,q4_app_used_14,q5_purpose_social_networks_1,q5_purpose_social_networks_2,q5_purpose_social_networks_3,q5_purpose_social_networks_4,q5_purpose_social_networks_5,q5_purpose_social_networks_6,q5_purpose_social_networks_7,q5_purpose_social_networks_8,q5_purpose_social_networks_9,q5_purpose_social_networks_10,q5_purpose_social_networks_11,q5_purpose_social_networks_12,q6_topic_type_1,q6_topic_type_2,q6_topic_type_3,q6_topic_type_4,q6_topic_type_5,q6_topic_type_6,q6_topic_type_7,q6_topic_type_8,q6_topic_type_9,q6_topic_type_10,q6_topic_type_11,q6_topic_type_12,q6_topic_type_13,q7_trust_news_1,q7_trust_news_2,q7_trust_news_3,q7_trust_news_4,q7_trust_news_5,q7_trust_news_6,q7_trust_news_7,q7_trust_news_8,q7_trust_news_9,q8_news_follow_frequency,q9_influencers,q10_content_influencers_1,q10_content_influencers_2,q10_content_influencers_3,q10_content_influencers_4,q10_content_influencers_5,q10_content_influencers_6,q10_content_influencers_7,q10_content_influencers_8,age,age_category,d1r2,gender,profession,d4r1,d4r2,d5r,d5,family_size_15_above,d23,device_used,d12be,d12be_r,d12at,d12at_r,d12bg,d12cy,d12cz,d12dk,d12ee,d12de,d12gr,d12gr_r,d12es,d12es_r,d12fi,d12fr,d12fr_r,d12hu,d12ie,d12it,d12it_r,d12lt,d12lu,d12lv,d12nl,d12nl_r,d12pl,d12pl_r,d12pt,d12ro,d12se,d12se_r,d12si,d12si_r,d12sk,d12mt,d12hr,eu_nms3,eu15,eu_nms12,eu_nms13,eu25,eu27,eu_la6,w1,w5,w6,w7,w9,w10,w11,w13,w14,w24,w87,w94,w100,w102,w103
114,Austria,Has nationality of survey country,Small or middle sized town,No,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,"Video platforms (e.g. YouTube, etc.)",,,,,,,,,,,"Video platforms (e.g. YouTube, etc.)",,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel",,You read articles or posts that appear in your online social networks,"You read content shared by friends on direct messaging apps (e.g. WhatsApp, Messenger, etc.)",Via notifications from news apps you registered to or via alerts you receive,Via email newsletter(s) you receive,,,,WhatsApp,,YouTube,,Instagram,,TikTok,,Snapchat,Telegram,,,,,,,,,,,,,To follow what friends/family/colleagues are doing,,,,,,,,,,,,,"Crime, accidents",,,,,,,,,"People, groups or friends I follow on social media or messaging platforms",,,,You follow the news from time to time,Yes,,,,,Motivational content,,,,22.0,15 - 24 years,15 - 24 years,Female,17,17 years,16-19,Employee,Middle management,1,0,PC/Laptop/Tablet,,,Steiermark,Sued-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.556463214767493,,,,,0.6064614106664276,0.1945295332299038,,0.2672659262340611,,0.2827205964871713,,,0.2636372757739175,
115,Austria,Has nationality of survey country,Rural area or village,No,"Video platforms (e.g. YouTube, etc.)",Radio,,,,,,,"Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,Radio,,,,"Video platforms (e.g. YouTube, etc.)",,,"Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,,,"You read content shared by friends on direct messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,,WhatsApp,,YouTube,,,,,,,,,,,,To watch photo and video content,,To send direct messages to friends and family,,,,,,To follow what friends/family/colleagues are doing,,,,Local news,,European and international affairs,,,,,,,,,,,,,,,,,,,Donâ€™t know,You follow the news from time to time,No,,,,,,,,,68.0,55 years and older,65 years and older,Male,20,20 years,20 years and older,Without a professional activity,Retired,1,0,PC/Laptop/Tablet,,,Vorarlberg,West-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.907236820330883,,,,,0.9887520095938116,0.3171536779150609,,0.4357403736034746,,0.4609370901655072,,,0.4298243575611054,
116,Austria,Has nationality of survey country,Rural area or village,Yes,Online press and/or news platforms,,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,,,,,,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Online press and/or news platforms,,,,,,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel",,,,Via notifications from news apps you registered to or via alerts you receive,,,,,WhatsApp,Facebook,YouTube,Messenger,Instagram,,,,,,,,,,To watch photo and video content,,To send direct messages to friends and family,,To follow the news and current events,,,,,,,,,National politics,European and international affairs,,Sport,,Culture and art,,,,,,,Public TV and Radio stations (incl. their online presence),,"The written press (such as newspapers or magazines), incl. their online presence",,,,,,,You actively search news several times a day,No,,,,,,,,,69.0,55 years and older,65 years and older,Female,23,22 years and older,20 years and older,Without a professional activity,Retired,2,0,PC/Laptop/Tablet,,,Niederoesterreich,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,1.26867503089207e+16,,,,,1382665427819090.0,0.4435059767301743,,0.6093369664391425,,0.6445719177179685,,,0.6010640418100766,
117,Austria,Has nationality of survey country,Rural area or village,Yes,Radio,,,,,,,,"Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,Radio,,,,,,,"Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,"You use a news aggregator app or website, meaning a website or app that assembles information from different (...).",,,,,,,,,,,,,,,,Snapchat,,,,,,,,,,,,,,To follow what friends/family/colleagues are doing,,,,,,European and international affairs,,,,,,,,,,,Public TV and Radio stations (incl. their online presence),,,,,,,,,You are trying to avoid some news topics,Yes,,,Insight into their everyday life Â ,,,,,,24.0,15 - 24 years,15 - 24 years,Male,19,19 years,16-19,Manual worker,Unskilled manual worker,2,2,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.677147494139969,,,,,0.7379891673467575,0.2367185870819618,,0.325229857815508,,0.3440362963309915,,,0.3208142351813637,
118,Austria,Has nationality of survey country,Small or middle sized town,Don't know,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Radio,TV,,Online press and/or news platforms,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,Radio,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Online press and/or news platforms,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,,,,,Via notifications from news apps you registered to or via alerts you receive,,,,,WhatsApp,Facebook,YouTube,Messenger,,,,,,,,,,,To watch photo and video content,,,,To follow the news and current events,To buy or sell products,"To share my own content (pictures, video, music, etc.)",,,,,,Local news,National politics,European and international affairs,,,,Culture and art,,,"Crime, accidents",,,,Public TV and Radio stations (incl. their online presence),Private TV and Radio stations (incl. their online presence),"The written press (such as newspapers or magazines), incl. their online presence",,,,,,,You follow the news on a daily basis,No,,,,,,,,,69.0,55 years and older,65 years and older,Male,17,17 years,16-19,Without a professional activity,Retired,2,0,PC/Laptop/Tablet,,,Steiermark,Sued-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.9099260087604466,,,,,0.9916828214880398,0.318093769831449,,0.4370319745887177,,0.4623033780650412,,,0.4310984225716903,
119,Austria,Yes,Large town,Don't know,Online press and/or news platforms,,,,,,,,"Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,,,Online press and/or news platforms,,,,"Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,,,"You read content shared by friends on direct messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,,,,,,,,TikTok,,,,,,,,,,,,,,,For professional reasons,,,,,,,,,,,,,"Hobbies, lifestyle",,,,,,Private TV and Radio stations (incl. their online presence),,,YouTube or other video platforms,,"Influencers on social media channels (e.g. YouTube, Instagram, TikTok etc.)",,,You are trying to avoid some news topics,Yes,,,,,Motivational content,,,,21.0,15 - 24 years,15 - 24 years,Female,No full-time education,Never been in full-time education,Never been in full-time education,Employee,Middle management,1,0,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.5362707263939617,,,,,0.5844546280815374,0.1874706024078646,,0.257567595841499,,0.2724614594839996,,,0.2540706189229006,
120,Austria,Has nationality of survey country,Small or middle sized town,Yes,TV,Radio,,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,Radio,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel","You use a news aggregator app or website, meaning a website or app that assembles information from different (...).",,,,Via email newsletter(s) you receive,,,,WhatsApp,Facebook,YouTube,Messenger,,,TikTok,,,,,,,,To watch photo and video content,To share my opinion publicly/ to discuss within social media groups,To send direct messages to friends and family,,,,"To share my own content (pictures, video, music, etc.)",,To follow what friends/family/colleagues are doing,,,,Local news,National politics,,Science and technology,Sport,,Culture and art,,,,,,,Public TV and Radio stations (incl. their online presence),,"The written press (such as newspapers or magazines), incl. their online presence",,,"People, groups or friends I follow on social media or messaging platforms",,,,You follow the news on a daily basis,No,,,,,,,,,76.0,55 years and older,65 years and older,Male,15,15 years,Up to 15,Without a professional activity,Retired,Refusal,DK/Refusal,PC/Laptop/Tablet,,,Kaernten,Sued-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,1.1153318338773e+16,,,,,1.2155443511518e+16,0.3898999525624685,,0.5356871536676547,,0.5666632995438428,,,0.5284141673052001,
121,Austria,Has nationality of survey country,Rural area or village,Yes,TV,,,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Online press and/or news platforms,,Podcasts,,,,,,,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Online press and/or news platforms,,Podcasts,,,,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel","You use a news aggregator app or website, meaning a website or app that assembles information from different (...).",,,,,,,,WhatsApp,Facebook,YouTube,,Instagram,X (Twitter),,,,Telegram,,,,,To watch photo and video content,,To send direct messages to friends and family,,,,,,To follow what friends/family/colleagues are doing,,,,,National politics,European and international affairs,Science and technology,Sport,Financial and economic news,,,,,,,,Public TV and Radio stations (incl. their online presence),,,,,,,,,You actively search news several times a day,No,,,,,,,,,66.0,55 years and older,65 years and older,Male,19,19 years,16-19,Without a professional activity,Retired,2,0,PC/Laptop/Tablet,,,Tirol,West-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,1051801852482150.0,,,,,1.14630620366238e+16,0.3676910135006723,,0.5051740867288074,,0.5343858124464078,,,0.4983153741046783,
122,Austria,Has nationality of survey country,Rural area or village,Yes,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Radio,TV,,,,,,,,,,Radio,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,,,,,,,,,,,,,Donâ€™t know,WhatsApp,,YouTube,,,,,,,,,,,,,,To send direct messages to friends and family,,,,,,,,,,Local news,National politics,,Science and technology,,,,,,"Crime, accidents",Other,,,Public TV and Radio stations (incl. their online presence),Private TV and Radio stations (incl. their online presence),,,,,,,,You actively search news several times a day,No,,,,,,,,,78.0,55 years and older,65 years and older,Male,23,22 years and older,20 years and older,Without a professional activity,Retired,2,0,PC/Laptop/Tablet,,,Niederoesterreich,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.8607397622654246,,,,,0.938077192862217,0.3008991425531562,,0.4134081170207711,,0.4373134693361273,,,0.4077953044367204,
123,Austria,Has nationality of survey country,Rural area or village,Yes,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Radio,TV,,,,,,,,,,Radio,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,,,,,,,,,Via notifications from news apps you registered to or via alerts you receive,,,,,WhatsApp,,,,,,,,,,,,,,,,To send direct messages to friends and family,,,,,,,,,,Local news,National politics,European and international affairs,,,,,"People (e.g. royals, celebrities, etc.)",,,,,,Public TV and Radio stations (incl. their online presence),,,,,,,,,You follow the news on a daily basis,No,,,,,,,,,72.0,55 years and older,65 years and older,Female,6,Up to 14 years,Up to 15,Without a professional activity,Retired,1,0,Smartphone,,,Steiermark,Sued-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,1.34117239365745e+16,,,,,1.46167667550894e+16,0.4688497510622119,,0.6441570125712319,,0.6814054353716699,,,0.6354113386538457,
124,Austria,Has nationality of survey country,Rural area or village,Yes,TV,,,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,,,,,,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,,,,,,,You read articles or posts that appear in your online social networks,,,Via email newsletter(s) you receive,,,,WhatsApp,Facebook,,,,,,,,,,,,,,,To send direct messages to friends and family,,,To buy or sell products,,,,,,,Local news,,,,,,Culture and art,,,,,,,Public TV and Radio stations (incl. their online presence),,,,,,,,,You follow the news on a daily basis,No,,,,,,,,,75.0,55 years and older,65 years and older,Female,17,17 years,16-19,Without a professional activity,Retired,1,0,PC/Laptop/Tablet,,,Burgenland (AT),Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,1201093174435450.0,,,,,1.30901134446828e+16,0.4198805750101144,,0.5768778083435895,,0.6102358066111251,,,0.5690455793939876,
125,Austria,Has nationality of survey country,Rural area or village,Yes,Radio,,,,Online press and/or news platforms,,,,,,,,Radio,,,Online press and/or news platforms,,,,,,,,,,,,Via notifications from news apps you registered to or via alerts you receive,,,,,WhatsApp,Facebook,YouTube,Messenger,,,,,,,,,,,To watch photo and video content,,,,,,"To share my own content (pictures, video, music, etc.)",,,,,,Local news,National politics,European and international affairs,,Sport,,Culture and art,,,,,,,,,,,,,,,Donâ€™t know,You follow the news from time to time,No,,,,,,,,,66.0,55 years and older,65 years and older,Male,18,18 years,16-19,Employee,"General management, director or top management",2,0,PC/Laptop/Tablet,,,Oberoesterreich,West-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.3739427807535159,,,,,0.4075415235112354,0.1307236716897232,,0.1796024624887158,,0.189987987024226,,,0.1771640126371554,
126,Austria,Has nationality of survey country,Large town,Yes,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,,,,,,,Donâ€™t know,,,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,,,,Donâ€™t know,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel",,,,,,,,,,,YouTube,,Instagram,,,,,,,,,,,,,,,,"To share my own content (pictures, video, music, etc.)",,,,,,,,,,,,Culture and art,,,,,,,,,"The written press (such as newspapers or magazines), incl. their online presence",,,,,,,You follow the news from time to time,No,,,,,,,,,65.0,55 years and older,65 years and older,Male,18,18 years,16-19,Self-employed,"Owner of shop, craftsman (self-employed)",2,0,PC/Laptop/Tablet,,,Steiermark,Sued-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.3680136476631435,,,,,0.4010796580678589,0.1286509533825301,,0.1767547356217646,,0.1869755901586716,,,0.1743549491552145,
127,Austria,Has nationality of survey country,Small or middle sized town,Don't know,Online press and/or news platforms,,TV,,,,,,,,,,,TV,,Online press and/or news platforms,,,,,,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel","You use a news aggregator app or website, meaning a website or app that assembles information from different (...).",,,,Via email newsletter(s) you receive,,,,,Facebook,YouTube,,,,,,,,,,,,,,,,To follow the news and current events,,,,,,,,,,,,Sport,,,,,,,,,,,,,,,,,Donâ€™t know,You follow the news from time to time,No,,,,,,,,,65.0,55 years and older,65 years and older,Male,18,18 years,16-19,Without a professional activity,Retired,1,0,Smartphone,,,Steiermark,Sued-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.9099260087604466,,,,,0.9916828214880398,0.318093769831449,,0.4370319745887177,,0.4623033780650412,,,0.4310984225716903,
128,Austria,Has nationality of survey country,Rural area or village,Yes,TV,,,,,,,,,,None of these accessed in the last 7 days for news,,,TV,,,,,,,,None of these accessed in the last 7 days for news,,,,,,,,,You never access news online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The written press (such as newspapers or magazines), incl. their online presence",,,,,,,You actively avoid all news,I do not use social media channels,,,,,,,,,73.0,55 years and older,65 years and older,Male,No full-time education,Never been in full-time education,Never been in full-time education,Without a professional activity,Retired,2,0,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.8769073475712307,,,,,0.9556974350119624,0.3065510396409218,,0.4211733107425698,,0.4455276859098582,,,0.4154550706759786,
129,Austria,Has nationality of survey country,Large town,Yes,Radio,,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Online press and/or news platforms,,,,,,,,Radio,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Online press and/or news platforms,,,,,,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel",,,,,Via email newsletter(s) you receive,,,,WhatsApp,Facebook,YouTube,Messenger,Instagram,X (Twitter),TikTok,LinkedIn,,Telegram,,,,,,,To send direct messages to friends and family,,,,,,To follow what friends/family/colleagues are doing,,,,Local news,National politics,European and international affairs,Science and technology,,Financial and economic news,Culture and art,,,,,,,,,"The written press (such as newspapers or magazines), incl. their online presence",,,,,,,You follow the news on a daily basis,No,,,,,,,,,65.0,55 years and older,65 years and older,Female,19,19 years,16-19,Without a professional activity,Retired,1,0,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,1292505011434980.0,,,,,1.40863653108823e+16,0.4518365094030783,,0.6207823623843199,,0.6566791444574467,,,0.6123540444290333,
130,Austria,Has nationality of survey country,Rural area or village,Yes,TV,,,,,"Video platforms (e.g. YouTube, etc.)",,"Social media platforms (e.g. Facebook, Instagram, etc.)","Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,TV,,,"Video platforms (e.g. YouTube, etc.)",,"Social media platforms (e.g. Facebook, Instagram, etc.)","Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,,,You read articles or posts that appear in your online social networks,,Via notifications from news apps you registered to or via alerts you receive,,,,,WhatsApp,Facebook,YouTube,,Instagram,,,,Snapchat,,,,,,To watch photo and video content,,To send direct messages to friends and family,To play video games,,To buy or sell products,"To share my own content (pictures, video, music, etc.)",,To follow what friends/family/colleagues are doing,To get to know new people,,,,,,,,,Culture and art,"People (e.g. royals, celebrities, etc.)","Hobbies, lifestyle","Crime, accidents",,,,Public TV and Radio stations (incl. their online presence),,"The written press (such as newspapers or magazines), incl. their online presence",,YouTube or other video platforms,,,,,You follow the news on a daily basis,Yes,,,,,Motivational content,,,,20.0,15 - 24 years,15 - 24 years,Female,19,19 years,16-19,Employee,Civil servant,2,0,PC/Laptop/Tablet,,,Niederoesterreich,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.5263834757739316,,,,,0.5736790084188048,0.1840141973895289,,0.2528188089949601,,0.2674380737170159,,,0.2493863060174234,
131,Austria,Has nationality of survey country,Large town,Yes,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Radio,TV,,,,,,,,,,Radio,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,,,,,,,,,,,,You never access news online,,,Facebook,,,,,,LinkedIn,,,,,,,,,,,,,,,To follow what friends/family/colleagues are doing,,,,,National politics,European and international affairs,,,Financial and economic news,,,,,,,,Public TV and Radio stations (incl. their online presence),Private TV and Radio stations (incl. their online presence),"The written press (such as newspapers or magazines), incl. their online presence",,,,,,,You follow the news on a daily basis,No,,,,,,,,,65.0,55 years and older,65 years and older,Male,18,18 years,16-19,Without a professional activity,Retired,2,0,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.8769073475712307,,,,,0.9556974350119624,0.3065510396409218,,0.4211733107425698,,0.4455276859098582,,,0.4154550706759786,
132,Austria,Has nationality of survey country,Large town,No,"Social media platforms (e.g. Facebook, Instagram, etc.)",,TV,,,,,,,,,,,TV,,,,,"Social media platforms (e.g. Facebook, Instagram, etc.)",,,,,,,You read articles or posts that appear in your online social networks,,,,,,,WhatsApp,Facebook,YouTube,,Instagram,,TikTok,,Snapchat,Telegram,,,,,To watch photo and video content,To share my opinion publicly/ to discuss within social media groups,,,To follow the news and current events,,,,To follow what friends/family/colleagues are doing,,,,,,,,,,,,,,,,Donâ€™t know,,,,,,,,,Donâ€™t know,You follow the news from time to time,Yes,"Reviews (e.g. products, books, places, etc.)",,,"Commentary on current events (e.g. on society, politics, economy, etc.)",Motivational content,,,,24.0,15 - 24 years,15 - 24 years,Female,18,18 years,16-19,Employee,Middle management,1,1,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.5362707263939617,,,,,0.5844546280815374,0.1874706024078646,,0.257567595841499,,0.2724614594839996,,,0.2540706189229006,
133,Austria,Has nationality of survey country,Small or middle sized town,No,TV,,,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Online press and/or news platforms,,,,,,,,,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Online press and/or news platforms,,,,,,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel",,You read articles or posts that appear in your online social networks,,,,,,,WhatsApp,Facebook,,Messenger,,,,,,,,,,,,,To send direct messages to friends and family,,To follow the news and current events,,,,To follow what friends/family/colleagues are doing,,,,Local news,National politics,European and international affairs,,,Financial and economic news,,,,,Other,,,Public TV and Radio stations (incl. their online presence),Private TV and Radio stations (incl. their online presence),,,,,,,,You follow the news on a daily basis,No,,,,,,,,,76.0,55 years and older,65 years and older,Female,27,22 years and older,20 years and older,Without a professional activity,Retired,2,0,PC/Laptop/Tablet,,,Salzburg,West-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,1.53565914472674e+16,,,,,1.67363805279188e+16,0.5368388218594916,,0.7375678262339194,,0.7802177356494796,,,0.72755392034714,
134,Austria,Has nationality of survey country,Large town,Yes,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,TV,,,,,,,,,,,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",,,,,,,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel",,,,,Via email newsletter(s) you receive,,,,WhatsApp,Facebook,YouTube,,Instagram,X (Twitter),,LinkedIn,,Telegram,,,,,,,,,To follow the news and current events,,,For professional reasons,,,,,,National politics,European and international affairs,Science and technology,,Financial and economic news,Culture and art,,,,,,,,Private TV and Radio stations (incl. their online presence),"The written press (such as newspapers or magazines), incl. their online presence",,,,,,,You actively search news several times a day,No,,,,,,,,,73.0,55 years and older,65 years and older,Male,29,22 years and older,20 years and older,Self-employed,"Professional (self-employed lawyer, medical practitioner, ...)",2,0,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,0.3546594652041208,,,,,0.386525602889603,0.123982571337715,,0.1703408023207096,,0.1801907707308664,,,0.1680280973701318,
135,Austria,Has nationality of survey country,Large town,Yes,TV,Radio,,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Online press and/or news platforms,,,,"Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,Radio,TV,"Written (printed) press (e.g. newspapers, weekly or monthly magazine, etc.)",Online press and/or news platforms,,,,"Messaging apps (e.g. WhatsApp, Messenger, etc.)",,,,"You directly go to the website or app of the news source, e.g. the website of a newspaper, a magazine, or a TV channel",,,,,Via email newsletter(s) you receive,,,,WhatsApp,Facebook,,,,,,LinkedIn,,,,,,,,,To send direct messages to friends and family,,,,,,To follow what friends/family/colleagues are doing,,,,Local news,National politics,European and international affairs,,,,,,,,,,,,,"The written press (such as newspapers or magazines), incl. their online presence",,,,,,,You follow the news on a daily basis,No,,,,,,,,,65.0,55 years and older,65 years and older,Female,18,18 years,16-19,Without a professional activity,Retired,1,0,PC/Laptop/Tablet,,,Wien,Ost-Oesterreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU NMS-3,EU-15,Not country group,Not country group,EU-25,EU-27,Not country group,1292505011434980.0,,,,,1.40863653108823e+16,0.4518365094030783,,0.6207823623843199,,0.6566791444574467,,,0.6123540444290333,
